"dato","Regionsnavn","sex","Paabegyndt vacc. idag","Faerdigvacc. idag","Paabegyndt vacc. igaar","Faerdigvacc. igaar","Paabegyndt vacc. difference","Faerdigvaccineret difference"
2021-06-10,Hovedstaden,K,420866,261411,414573,256972,6293,4439
2021-06-10,Hovedstaden,M,364864,194481,357699,189408,7165,5073
2021-06-10,Midtjylland,K,304197,184540,295839,182199,8358,2341
2021-06-10,Midtjylland,M,263285,130237,254000,127886,9285,2351
2021-06-10,Nordjylland,K,134250,87096,132454,85537,1796,1559
2021-06-10,Nordjylland,M,114761,61904,112526,60078,2235,1826
2021-06-10,Sjælland,K,218823,125806,215349,124182,3474,1624
2021-06-10,Sjælland,M,192924,91474,188930,89970,3994,1504
2021-06-10,Syddanmark,K,287202,175315,282438,173531,4764,1784
2021-06-10,Syddanmark,M,249746,127291,244122,125203,5624,2088
